Rooftop|Domain|City|State|Group|Platform
Arapahoe Hyundai|arapahoehyundai.com|Centennial|CO|Other|I
Audi North Atlanta|audinorthatlanta.com|Roswell|GA|Other|D
Bill Estes Chevy Buick GMC Lebanon|billesteschevybuickgmc.com|Lebanon|IN|BillEstes|D
Bill Estes Chevy Indianapolis|billesteschevy.com|Indianapolis|IN|BillEstes|D
Bill Estes Chrysler Dodge Jeep RAM|billesteschryslerdodgejeepram.com|Brownsburg|IN|BillEstes|I
Bill Estes Ford Brownsburg|billestesford.com|Brownsburg|IN|BillEstes|D
Bill Estes Toyota|billestestoyota.com|Indianapolis|IN|BillEstes|D
Coggin Acura Fort Pierce|cogginacura.com|Fort Pierce|FL|Coggin|D
Coggin BMW Treasure Coast|cogginbmw.com|Fort Pierce|FL|Coggin|D
Coggin Buick/GMC of Orange Park|cogginbuickgmc.com|Jacksonville|FL|Coggin|D
Coggin Chevrolet at the Avenues|cogginchevrolet.com|Jacksonville|FL|Coggin|D
Coggin Deland Ford Lincoln|coggindelandford.com|Orange City|FL|Coggin|D
Coggin Deland Ford|coggindelandford.com|Orange City|FL|Coggin|D
Coggin Deland Honda|cogginhondadeland.com|Orange City|FL|Coggin|D
Coggin Deland Hyundai|coggindelandhyundai.com|DeLand|FL|Coggin|D
Coggin Ford Jacksonville|cogginfordjacksonville.com|Jacksonville|FL|Coggin|D
Coggin Honda Fort Pierce|cogginhondaftpierce.com|Fort Pierce|FL|Coggin|D
Coggin Honda Jacksonville|cogginhondajacksonville.com|Jacksonville|FL|Coggin|D
Coggin Honda Orlando|cogginhondaorlando.com|Orlando|FL|Coggin|D
Coggin Honda Saint Augustine|cogginhondastaugustine.com|Saint Augustine|FL|Coggin|D
Coggin Nissan at the Avenues|nissanattheavenues.com|Jacksonville|FL|Coggin|D
Coggin Nissan on Atlantic|cogginnissanatlantic.com|Jacksonville|FL|Coggin|D
Coggin Toyota at the Avenues|coggintoyota.com|Jacksonville|FL|Coggin|D
Courtesy Chrysler Jeep Dodge Ram|courtesychryslerjeepdodge.com|Tampa|FL|Courtesy|D
Courtesy Hyundai of Tampa|tampahyundai.com|Tampa|FL|Courtesy|D
Courtesy Kia of Brandon|brandonkia.com|Tampa|FL|Courtesy|D
Courtesy Nissan of Tampa|courtesynissanoftampa.com|Tampa|FL|Courtesy|D
Courtesy Palm Harbor Honda|palmharborhonda.com|Palm Harbor|FL|Courtesy|D
Courtesy Toyota of Brandon|courtesytoyota.com|Tampa|FL|Courtesy|D
Crown Acura Richmond|crownacurarichmond.com|Richmond|VA|Crown|D
Crown MINI of Richmond|crownmini.com|Richmond|VA|Crown|D
David McDavid Acura of Austin|davidmcdavidacuraofaustin.com|Austin|TX|DavidMcDavid|D
David McDavid Ford|mcdavidford.com|Fort Worth|TX|DavidMcDavid|D
David McDavid Frisco Lincoln|mcdavidlincolnfrisco.com|Frisco|TX|DavidMcDavid|D
David McDavid Honda of Frisco|mcdavidhondafrisco.com|Frisco|TX|DavidMcDavid|D
David McDavid Honda of Irving|mcdavidhondairving.com|Irving|TX|DavidMcDavid|D
Hare Chevrolet|harechevy.com|Noblesville|IN|Hare|O
Hare Honda|harehonda.com|Avon|IN|Hare|D
Hare Isuzu Trucks|haretruckcenter.com|Noblesville|IN|Hare|D
INFINITI of Tampa|infinitioftampa.com|Tampa|FL|Other|U
Kahlo Chrysler Dodge Jeep Ram|hellokahlo.com|Noblesville|IN|Other|I
Larry H. Miller American Toyota Albuquerque|americantoyota.com|Albuquerque|NM|LHM|D
Larry H. Miller Casa Chevrolet|lhmcasachevroletalbuquerque.com|Albuquerque|NM|LHM|D
Larry H. Miller Casa Chrysler Jeep|lhmcasajeepalbuquerque.com|Albuquerque|NM|LHM|D
Larry H. Miller Chevrolet Murray|larryhmillerchevrolet.com|Murray|UT|LHM|D
Larry H. Miller Chrysler Dodge Jeep Ram 104th|lhmdenverjeep.com|Thornton|CO|LHM|D
Larry H. Miller Chrysler Dodge Ram FIAT Denver|lhmchryslerdodgeramfiatdenver.com|Denver|CO|LHM|D
Larry H. Miller Chrysler Jeep Avondale|larrymillerchryslerjeepavondale.com|Avondale|AZ|LHM|D
Larry H. Miller Chrysler Jeep Dodge RAM Surprise|chryslerjeepdodgesurprise.com|Surprise|AZ|LHM|D
Larry H. Miller Chrysler Jeep Dodge Ram Albuquerque|lhmchryslerjeepdodgeabq.com|Albuquerque|NM|LHM|D
Larry H. Miller Chrysler Jeep Dodge Ram Boise|lhmdodgeboise.com|Boise|ID|LHM|D
Larry H. Miller Chrysler Jeep Dodge Ram Bountiful|bountifulchryslerjeep.com|West Bountiful|UT|LHM|D
Larry H. Miller Chrysler Jeep Dodge Ram Riverdale|lhmdodgeriverdale.com|Riverdale|UT|LHM|D
Larry H. Miller Chrysler Jeep Dodge Ram Sandy|lhmchryslerjeep.com|Sandy|UT|LHM|D
Larry H. Miller Chrysler Jeep Tucson|larrymillerchryslerjeeptucson.com|Tucson|AZ|LHM|D
Larry H. Miller Colorado Jeep|lhmcoloradojeep.com|Denver|CO|LHM|D
Larry H. Miller Dodge RAM Avondale|avondaledodge.com|Avondale|AZ|LHM|D
Larry H. Miller Dodge RAM FIAT Tucson|larrymillerdodgeramtucson.com|Tucson|AZ|LHM|D
Larry H. Miller Dodge Ram Peoria|larrymillerdodge.com|Peoria|AZ|LHM|D
Larry H. Miller Downtown Honda Spokane|larryhmillerhondaspokane.com|Spokane|WA|LHM|D
Larry H. Miller Ford Lakewood|lhmlakewoodford.com|Lakewood|CO|LHM|D
Larry H. Miller Ford Lincoln Draper|lhmforddraper.com|Draper|UT|LHM|D
Larry H. Miller Ford Mesa|lhmfordmesa.com|Mesa|AZ|LHM|D
Larry H. Miller Genesis of Albuquerque|larryhmillergenesis.com|Albuquerque|NM|LHM|D
Larry H. Miller Genesis of Peoria|larrymillergenesis.com|Peoria|AZ|LHM|D
Larry H. Miller Honda Boise|larrymillerhondaboise.com|Boise|ID|LHM|D
Larry H. Miller Honda Murray|lhmhonda.com|Murray|UT|LHM|D
Larry H. Miller Hyundai Albuquerque|larryhmillerhyundai.com|Albuquerque|NM|LHM|D
Larry H. Miller Hyundai Peoria|larrymillerhyundai.com|Peoria|AZ|LHM|D
Larry H. Miller Lexus Lindon|larryhmillerlexuslindon.com|Lindon|UT|LHM|D
Larry H. Miller Lexus Murray|lhmlexus.com|Murray|UT|LHM|D
Larry H. Miller Lincoln Draper|larryhmillerlincolndraper.com|Draper|UT|LHM|D
Larry H. Miller Lincoln Provo|larryhmillerlincolnofprovo.com|Provo|UT|LHM|D
Larry H. Miller Mercedes Benz Draper|mbdraper.com|Draper|UT|LHM|D
Larry H. Miller Nissan Mesa|lhmnissanmesa.com|Mesa|AZ|LHM|D
